Size	P Weight	P Height	G Weight	G Height	Not Mine	Letter	Date	Notes	IVs Before Trade	P Showcase Before	G Showcase Before	IVs After Trade	P Showcase After	G Showcase After
XS	 6.18	0.39	15.73	0.88		mP	2024-10-17
XS	 6.14	0.39	15.64	0.88		aP	2024-10-17	Lucky	ivb	psb	gsa	12/15/13	gsb	963
XL	10.09	0.56	20.10	1.27		mQ	2024-10-17
XL	 9.03	0.52	17.34	1.17		aQ	2024-10-17
XS	 4.10	0.32	10.93	0.74		m0	2024-10-17
A	 6.41	0.45	15.60	1.01		m1	2024-10-17
XS	 4.79	0.37	12.22	0.84		m2	2024-10-17	Lucky	ivb	psb	gsb	15/12/15	psa	gsa
XS	 2.82	0.31	 7.61	0.71		m3	2024-10-17
A	 6.25	0.45	15.25	1.00		m4	2024-10-17
XXL	14.82	0.76	39.16	1.63		mR	2024-10-18
XXL	14.63	0.75	38.81	1.62		aR	2024-10-18
XL	8.50	0.53	16.44	1.18		mS	d
XL	10.35	0.58	21.31	1.35		aS	d
XS	5.46	0.38	13.97	0.85		mT	d
XS	4.12	0.33	10.93	0.75		aT	d
A	6.56	0.42	16.28	0.93		m0	d
XS	3.09	0.31	8.33	0.72		a0	d
A	4.81	0.41	11.93	0.92		a1	d
XXL	13.67	0.68	37.31	1.52		mU	2024-10-21	n	4/5/10	1872	gsb	6/15/14	1890	1894
XXL	13.26	0.65	36.56	1.48		aU	2024-10-21	n	4/5/10	1819	gsb	7/15/6	1829	1850
A	6.72	0.46	16.33	1.02		mV	2024-10-21	n	1/1/8	1872	gsb	11/9/9	1110	1084
A	5.74	0.42	14.17	0.95		aV	2024-10-21	n	1/1/8	995	gsb	6/10/14	1017	1003
XL	8.85	0.53	17.28	1.20		mW	2024-10-21	n	2/12/6	1298	gsb	14/6/13	1312	1259
XL	9.01	0.54	17.70	1.22		aW	2024-10-21	n	2/12/6	1312	gsb	11/8/12	1324	1274
XXL	13.60	0.75	36.01	1.63		mX	2024-10-21	n	10/11/1	2030	gsb	6/15/15	2046	1987
XXL	12.63	0.70	34.22	1.55		aX	2024-10-21	n	10/11/1	1903	gsb	6/10/8	1906	1889
A	6.39	0.43	15.73	0.96		mY	2024-10-21	n	11/13/6	1046	gsb	6/5/15	1041	1024
A	6.28	0.43	15.49	0.96		aY	2024-10-21	n	11/13/6	1035	gsb	9/11/12	1038	1022
XS	4.02	0.33	10.62	0.76		mZ	2024-10-21	n	15/2/11	785	gsb	6/14/8	785	800
XS	3.48	0.31	9.37	0.72		aZ	2024-10-21	n	15/2/11	728	gsb	14/13/13	741	763
A	8.27	0.48	20.06	1.05		mAA	2024-10-21	n	9/13/4	1174	gsb	12/10/10	1181	1148
A	8.44	0.48	20.42	1.06		aAA	2024-10-21	n	9/13/4	1189	gsb	15/13/11	1174	1169
XL	7.96	0.54	15.65	1.21		m0	2024-10-21	n	12/12/12	1450	gsb	6/12/7	1285	1239
XL	10.96	0.58	22.35	1.33		mAB	2024-10-20	n	15/11/8	1450	gsb	14/15/7	1452	1423
XL	10.88	0.58	22.13	1.33		aAB	2024-10-20	n	15/11/8	1443	gsb	15/15/11	1451	1421
XXL	9.16	0.72	gw	gh			2024-10-22	Event Ticket Encounter	13/15/14	1874	gsb	iva	psa	gsa
XS	5.06	0.36	gw	gh			2024-10-22	Event Ticket Encounter	15/11/15	875	gsb	iva	psa	gsa
XL	10.84	0.55	gw	gh			2024-10-22	Event Ticket Encounter	10/14/15	1388	gsb	iva	psa	gsa
A	6.80	0.48	gw	gh			2024-10-22	Event Ticket Encounter	10/13/15	1152	gsb	iva	psa	gsa
